Fra_dato,Mængde,Måleenhed,Kvalitet,Type
07/01/2023 23.00,00.34,KWH,Målt,Tidsserie
08/01/2023 00.00,00.03,KWH,Målt,Tidsserie
08/01/2023 01.00,00.26,KWH,Målt,Tidsserie
08/01/2023 02.00,00.26,KWH,Målt,Tidsserie
08/01/2023 03.00,00.03,KWH,Målt,Tidsserie
08/01/2023 04.00,00.27,KWH,Målt,Tidsserie
08/01/2023 05.00,00.28,KWH,Målt,Tidsserie
08/01/2023 06.00,00.29,KWH,Målt,Tidsserie
08/01/2023 07.00,00.28,KWH,Målt,Tidsserie
08/01/2023 08.00,00.31,KWH,Målt,Tidsserie
08/01/2023 09.00,01.01,KWH,Målt,Tidsserie
08/01/2023 10.00,02.25,KWH,Målt,Tidsserie
08/01/2023 11.00,01.04,KWH,Målt,Tidsserie
08/01/2023 12.00,01.09,KWH,Målt,Tidsserie
08/01/2023 13.00,0.10625,KWH,Målt,Tidsserie
08/01/2023 14.00,0.0513888888888889,KWH,Målt,Tidsserie
08/01/2023 15.00,00.47,KWH,Målt,Tidsserie
08/01/2023 16.00,01.14,KWH,Målt,Tidsserie
08/01/2023 17.00,01.48,KWH,Målt,Tidsserie
08/01/2023 18.00,0.0541666666666667,KWH,Målt,Tidsserie
08/01/2023 19.00,01.37,KWH,Målt,Tidsserie
08/01/2023 20.00,01.46,KWH,Målt,Tidsserie
08/01/2023 21.00,01.02,KWH,Målt,Tidsserie
08/01/2023 22.00,00.54,KWH,Målt,Tidsserie
08/01/2023 23.00,00.35,KWH,Målt,Tidsserie
09/01/2023 00.00,00.35,KWH,Målt,Tidsserie
09/01/2023 01.00,00.28,KWH,Målt,Tidsserie
09/01/2023 02.00,00.27,KWH,Målt,Tidsserie
09/01/2023 03.00,00.03,KWH,Målt,Tidsserie
09/01/2023 04.00,00.32,KWH,Målt,Tidsserie
09/01/2023 05.00,00.24,KWH,Målt,Tidsserie
09/01/2023 06.00,0.0527777777777778,KWH,Målt,Tidsserie
09/01/2023 07.00,0.0444444444444444,KWH,Målt,Tidsserie
09/01/2023 08.00,01.17,KWH,Målt,Tidsserie
09/01/2023 09.00,02.14,KWH,Målt,Tidsserie
09/01/2023 10.00,01.15,KWH,Målt,Tidsserie
09/01/2023 11.00,0.0541666666666667,KWH,Målt,Tidsserie
09/01/2023 12.00,0.06875,KWH,Målt,Tidsserie
09/01/2023 13.00,00.23,KWH,Målt,Tidsserie
09/01/2023 14.00,00.42,KWH,Målt,Tidsserie
09/01/2023 15.00,00.56,KWH,Målt,Tidsserie
09/01/2023 16.00,0.0444444444444444,KWH,Målt,Tidsserie
09/01/2023 17.00,02.14,KWH,Målt,Tidsserie
09/01/2023 18.00,0.127083333333333,KWH,Målt,Tidsserie
09/01/2023 19.00,01.33,KWH,Målt,Tidsserie
09/01/2023 20.00,0.0659722222222222,KWH,Målt,Tidsserie
09/01/2023 21.00,01.29,KWH,Målt,Tidsserie
09/01/2023 22.00,0.04375,KWH,Målt,Tidsserie
09/01/2023 23.00,00.27,KWH,Målt,Tidsserie
10/01/2023 00.00,00.28,KWH,Målt,Tidsserie
10/01/2023 01.00,00.26,KWH,Målt,Tidsserie
10/01/2023 02.00,00.26,KWH,Målt,Tidsserie
10/01/2023 03.00,00.26,KWH,Målt,Tidsserie
10/01/2023 04.00,00.29,KWH,Målt,Tidsserie
10/01/2023 05.00,00.34,KWH,Målt,Tidsserie
10/01/2023 06.00,00.48,KWH,Målt,Tidsserie
10/01/2023 07.00,0.05625,KWH,Målt,Tidsserie
10/01/2023 08.00,00.51,KWH,Målt,Tidsserie
10/01/2023 09.00,01.15,KWH,Målt,Tidsserie
10/01/2023 10.00,0.0479166666666667,KWH,Målt,Tidsserie
10/01/2023 11.00,00.09,KWH,Målt,Tidsserie
10/01/2023 12.00,0.0944444444444444,KWH,Målt,Tidsserie
10/01/2023 13.00,00.23,KWH,Målt,Tidsserie
10/01/2023 14.00,00.23,KWH,Målt,Tidsserie
10/01/2023 15.00,00.57,KWH,Målt,Tidsserie
10/01/2023 16.00,0.0569444444444444,KWH,Målt,Tidsserie
10/01/2023 17.00,01.14,KWH,Målt,Tidsserie
10/01/2023 18.00,0.0895833333333333,KWH,Målt,Tidsserie
10/01/2023 19.00,0.0583333333333333,KWH,Målt,Tidsserie
10/01/2023 20.00,0.0604166666666667,KWH,Målt,Tidsserie
10/01/2023 21.00,00.08,KWH,Målt,Tidsserie
10/01/2023 22.00,0.0493055555555556,KWH,Målt,Tidsserie
10/01/2023 23.00,0.0465277777777778,KWH,Målt,Tidsserie
11/01/2023 00.00,00.41,KWH,Målt,Tidsserie
11/01/2023 01.00,00.03,KWH,Målt,Tidsserie
11/01/2023 02.00,00.25,KWH,Målt,Tidsserie
11/01/2023 03.00,00.27,KWH,Målt,Tidsserie
11/01/2023 04.00,00.25,KWH,Målt,Tidsserie
11/01/2023 05.00,00.03,KWH,Målt,Tidsserie
11/01/2023 06.00,00.57,KWH,Målt,Tidsserie
11/01/2023 07.00,0.0548611111111111,KWH,Målt,Tidsserie
11/01/2023 08.00,03.02,KWH,Målt,Tidsserie
11/01/2023 09.00,01.37,KWH,Målt,Tidsserie
11/01/2023 10.00,0.0451388888888889,KWH,Målt,Tidsserie
11/01/2023 11.00,01.09,KWH,Målt,Tidsserie
11/01/2023 12.00,01.49,KWH,Målt,Tidsserie
11/01/2023 13.00,00.55,KWH,Målt,Tidsserie
11/01/2023 14.00,00.19,KWH,Målt,Tidsserie
11/01/2023 15.00,0.0527777777777778,KWH,Målt,Tidsserie
11/01/2023 16.00,01.29,KWH,Målt,Tidsserie
