Fra_dato;Mængde;Måleenhed;Kvalitet;Type
09/01/2023 20.00;00.55;KWH;Målt;Tidsserie
09/01/2023 21.00;00.57;KWH;Målt;Tidsserie
09/01/2023 22.00;00.52;KWH;Målt;Tidsserie
09/01/2023 23.00;00.14;KWH;Målt;Tidsserie
10/01/2023 00.00;00.13;KWH;Målt;Tidsserie
10/01/2023 01.00;00.12;KWH;Målt;Tidsserie
10/01/2023 02.00;00.01;KWH;Målt;Tidsserie
10/01/2023 03.00;00.09;KWH;Målt;Tidsserie
10/01/2023 04.00;00.13;KWH;Målt;Tidsserie
10/01/2023 05.00;00.14;KWH;Målt;Tidsserie
10/01/2023 06.00;00.19;KWH;Målt;Tidsserie
10/01/2023 07.00;00.25;KWH;Målt;Tidsserie
10/01/2023 08.00;00.19;KWH;Målt;Tidsserie
10/01/2023 09.00;00.14;KWH;Målt;Tidsserie
10/01/2023 10.00;0;KWH;Målt;Tidsserie
10/01/2023 11.00;0;KWH;Målt;Tidsserie
10/01/2023 12.00;0;KWH;Målt;Tidsserie
10/01/2023 13.00;00.04;KWH;Målt;Tidsserie
10/01/2023 14.00;00.15;KWH;Målt;Tidsserie
10/01/2023 15.00;00.36;KWH;Målt;Tidsserie
10/01/2023 16.00;0.0576388888888889;KWH;Målt;Tidsserie
10/01/2023 17.00;01.06;KWH;Målt;Tidsserie
10/01/2023 18.00;01.59;KWH;Målt;Tidsserie
10/01/2023 19.00;0.0451388888888889;KWH;Målt;Tidsserie
10/01/2023 20.00;01.05;KWH;Målt;Tidsserie
10/01/2023 21.00;0.0680555555555555;KWH;Målt;Tidsserie
10/01/2023 22.00;00.57;KWH;Målt;Tidsserie
10/01/2023 23.00;00.16;KWH;Målt;Tidsserie
11/01/2023 00.00;00.12;KWH;Målt;Tidsserie
11/01/2023 01.00;00.12;KWH;Målt;Tidsserie
11/01/2023 02.00;00.12;KWH;Målt;Tidsserie
11/01/2023 03.00;00.12;KWH;Målt;Tidsserie
11/01/2023 04.00;00.14;KWH;Målt;Tidsserie
11/01/2023 05.00;00.13;KWH;Målt;Tidsserie
11/01/2023 06.00;00.16;KWH;Målt;Tidsserie
11/01/2023 07.00;00.22;KWH;Målt;Tidsserie
11/01/2023 08.00;00.25;KWH;Målt;Tidsserie
11/01/2023 09.00;00.22;KWH;Målt;Tidsserie
11/01/2023 10.00;00.08;KWH;Målt;Tidsserie
11/01/2023 11.00;00.03;KWH;Målt;Tidsserie
11/01/2023 12.00;0;KWH;Målt;Tidsserie
11/01/2023 13.00;00.02;KWH;Målt;Tidsserie
11/01/2023 14.00;00.12;KWH;Målt;Tidsserie
11/01/2023 15.00;00.17;KWH;Målt;Tidsserie
11/01/2023 16.00;00.49;KWH;Målt;Tidsserie
11/01/2023 17.00;00.05;KWH;Målt;Tidsserie
11/01/2023 18.00;0.0652777777777778;KWH;Målt;Tidsserie
11/01/2023 19.00;00.07;KWH;Målt;Tidsserie
11/01/2023 20.00;0.0430555555555556;KWH;Målt;Tidsserie
11/01/2023 21.00;00.55;KWH;Målt;Tidsserie
11/01/2023 22.00;00.48;KWH;Målt;Tidsserie
11/01/2023 23.00;00.13;KWH;Målt;Tidsserie
12/01/2023 00.00;00.12;KWH;Målt;Tidsserie
